location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground
Москва,3,15,1,54.0,14500000,2016,Вторичка,1 лоджия,Подземная,-1,-1,-1,30 м²,12 м²,"2,8 м",, Татьянин Парк,Говорово
Москва,6,13,1,85.04,130383328,2025,Новостройка,-1,Подземная,Монолитно-кирпичный,-1,Чистовая,"45,8 м²","15,8 м²","3,6 м",Мещанский,Садовая-Сухаревская ,Цветной бульвар
Москва,3,9,1,33.0,9100000,1978,Вторичка,-1,-1,-1,-1,-1,18 м²,6 м²,"2,7 м",Ясенево, Рокотова,Ясенево
Москва,8,16,1,37.8,18192215,2027,Новостройка,-1,-1,Монолитно-кирпичный,-1,Без отделки,"32,8 м²",-1,"3,06 м",Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь
Москва,22,22,1,14.3,8280000,1980,Вторичка / Апартаменты,-1,Наземная,-1,-1,-1,"6,3 м²",3 м²,"2,65 м",Тропарево-Никулино,Ленинский проспект,Юго-Западная
Москва,11,29,1,30.1,12837650,2025,Новостройка / Апартаменты,-1,Подземная,Монолитный,-1,"Без отделки, предчистовая, черновая, чистовая","10,5 м²","11,5 м²","3,1 м",Черемушки, Наметкина,Новые Черёмушки
Москва,12,25,1,47.6,23797810,2025,Новостройка,-1,Подземная,Монолитный,-1,Без отделки,"28,2 м²","5,5 м²","3,6 м",Савеловский,Старый Петровско-Разумовский проезд,Гражданская
Москва,2,16,1,37.5,20328519,2025,Новостройка,"1 лоджия, 1 балкон",Подземная,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,5 м²","10,7 м²","3,1 м",Сокол, Зорге,Октябрьское поле
Москва,7,40,1,43.4,20800000,2023,Вторичка,-1,-1,-1,-1,-1,"15,2 м²","19,4 м²",-1,Даниловский,бульвар Братьев Весниных,ЗИЛ
Москва,20,30,1,23.72,6698113,2027,Новостройка,-1,Открытая,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,3 м²","5,5 м²","3,15 м",Бирюлево Восточное,,Орехово
Москва,2,7,1,43.14,7204380,2024,Новостройка,-1,-1,-1,-1,Без отделки,-1,-1,-1,,,Рассказовка
Москва,3,49,1,39.37,19037954,2025,Новостройка,-1,Подземная,Монолитный,-1,"Предчистовая, чистовая","12,8 м²",-1,3 м,Савеловский,,Дмитровская
Москва,5,5,3,183.1,174494300.0,2017,Новостройка / Апартаменты,-1,Подземная,"Монолитно-кирпичный, монолитный, кирпичный",-1,"Без отделки, черновая","70,9 м²","43,8 м²","3,2 м",Арбат,Поварская ,Арбатская
Москва,22,31,3,83.0,52000000.0,2022,Вторичка,-1,-1,-1,-1,-1,-1,-1,"3,1 м",Раменки, Лобачевского,Аминьевская
Москва,2,14,3,142.1,309370000.0,2024,Новостройка,2 балкона,Подземная,Монолитный,-1,Без отделки,"46,6 м²","44,5 м²","3,35 м",Якиманка,,Полянка
Москва,5,17,3,105.0,130000000.0,2017,Вторичка,-1,Подземная,-1,-1,-1,-1,-1,"3,2 м",Пресненский, Сергея Макеева,Улица 1905 года
Москва,9,30,3,72.3,28208929.0,2027,Новостройка,-1,-1,Монолитный,-1,"Без отделки, предчистовая","52,6 м²",-1,"2,92 м",Кунцево,48-й кв-л,Кунцевская
Москва,5,21,3,117.0,114000000.0,2022,Вторичка,3 балкона,Подземная,-1,-1,-1,-1,-1,3 м,Пресненский,2-я Звенигородская ,Улица 1905 года
Москва,5,49,3,79.14,32051700.0,2027,Новостройка,-1,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая","36,7 м²",-1,"3,12 м",Марьина роща,,Марьина Роща
Москва,1,6,3,78.8,39990000.0,1932,Вторичка,-1,Наземная,-1,-1,-1,60 м²,10 м²,3 м,Мещанский,Большой Сергиевский переулок,Трубная
Москва,14,24,3,88.0,30500000.0,2004,Вторичка,2 лоджии,Наземная,-1,-1,-1,-1,11 м²,-1,Левобережный,Фестивальная ,Речной вокзал
Москва,3,39,3,70.5,47630082.0,2027,Новостройка,-1,Подземная,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,"3,1 м",Даниловский,,Павелецкая
Москва,22,53,3,130.0,100000000.0,2012,Вторичка,-1,-1,-1,-1,-1,-1,-1,5 м,Раменки,Мосфильмовская ,Ломоносовский проспект
Москва,4,27,3,88.68,59872000.0,2027,Новостройка,2 балкона,Подземная,-1,-1,Без отделки,"52,2 м²","22,4 м²","3,1 м",Крылатское,Крылатская ,Молодёжная
Москва,3,10,3,173.6,165000000.0,2009,Вторичка,-1,Подземная,-1,-1,-1,-1,15 м²,3 м,Тверской,Большая Грузинская ,Белорусская
Москва,14,17,3,169.5,200000000.0,2003,Вторичка,-1,Подземная,-1,-1,-1,-1,20 м²,3 м,Тверской,4-я Тверская-Ямская ,Маяковская
Москва,22,23,3,152.0,82000000.0,2004,Вторичка,-1,Открытая,-1,-1,-1,112 м²,25 м²,3 м,Покровское-Стрешнево,Иваньковское шоссе,Щукинская
Москва,15,30,3,105.9,37890000.0,2023,Вторичка,-1,Подземная,-1,-1,-1,"51,2 м²","28,4 м²","3,3 м",Можайский, Петра Алексеева,Давыдково
Москва,19,28,3,85.0,30500000.0,-1,Вторичка,1 лоджия,-1,-1,-1,-1,50 м²,15 м²,-1,Лефортово,проезд Невельского,Авиамоторная
Москва,37,85,3,187.5,150562821.0,2015,Новостройка / Апартаменты,-1,-1,Монолитный,-1,-,"139,1 м²",-1,-1,Пресненский,1-й Красногвардейский проезд,Москва-Сити
Москва,2,7,3,146.6,147000000.0,2016,Новостройка / Апартаменты,-1,-1,-1,-1,Без отделки,-1,-1,"3,25 м",Замоскворечье,,Новокузнецкая
Москва,4,7,3,131.4,115290339.0,-1,Вторичка,-1,Наземная,-1,-1,-1,"101,4 м²",25 м²,-1,Пресненский,Никитский бульвар,Арбатская
