location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,floor_ismissing,floors_count_ismissing,rooms_count_ismissing,total_meters_ismissing,price_ismissing,year_of_construction_ismissing,location_ismissing,object_type_ismissing,have_loggia_ismissing,parking_type_ismissing,house_material_type_ismissing,heating_type_ismissing,finish_type_ismissing,living_meters_ismissing,kitchen_meters_ismissing,ceiling_height_ismissing,district_ismissing,street_ismissing,underground_ismissing
Дубна,2,9,1,37.2,6200000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"20,7 м²","7,9 м²","2,7 м",Дубна, Энтузиастов,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True
Дубна,7,14,2,75.4,10103600,2025,Новостройка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Дмитров,Советская ,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
Дубна,8,9,2,59.0,9900000,2016,Вторичка,2 лоджии,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,9 м²,"2,7 м",Дубна, Понтекорво,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,False,False,True
Дубна,1,2,2,47.7,5500000,1952,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,33 м²,"4,1 м²",3 м,Дубна, Курчатова,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Дубна,2,9,2,69.3,9979200,2024,Новостройка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Дубна, Программистов,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True
Дубна,18,18,2,70.3,16500000,2007,Вторичка,2 лоджии,Многоуровневая,Монолитно-кирпичный,heating_type,Без отделки,18 м²,12 м²,"2,7 м",Дубна, Понтекорво,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True
Дубна,2,14,2,50.7,7000000,1973,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,32 м²,8 м²,"2,7 м",Дубна, В.И. Векслера,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Дубна,1,9,2,75.1,10664200,2024,Новостройка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Дубна, Программистов,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True
Дубна,3,9,2,51.0,8700000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"28,6 м²","7,7 м²","2,7 м",Дубна, Энтузиастов,Щёлковская,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True
Дубна,9,9,2,54.3,8200000,1995,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,30 м²,"8,1 м²","2,7 м",Дубна, Понтекорво,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
